ISIN,Entityname,Jurisdiction,Country,Sector,Issuedate,Maturitydate,couponfrequency,couponcurrency,issuecurrency,principalcurrency,Strips,InterestCommencementDate,Tradedate,Firstcoupondate,Penltmcdate,ExtendedMaturityDate,coupontype,bondtype,amountissued,issuanceCoupon,currentCoupon,margin,businessdays,daycount,Businessday_convention,calloption,stepupbond,convertible,perpetual,putoption,exchangeable,seriesNo,TrancheNo,NOI,seniority,sfc,slc,lfc,llc,BondDescription,ABS,DualCurrency,Class,BondClassification,isin144A,Cusip144A,Commoncode,IsinregS,Cusipregs,Regsccode,wkn,ISIN,CUSIPISIN,ISINCCode,Sedol,Valoren,reofferprice,issueprice,Minimumdenomination,mindenomination1,mindenomination2,IncDenomination,IncDenomination1,IncDenomination2,ratefixdays,Settlementdays,Collateral,FormofNotes,RecordDays,Nationalityofguarantor,Recorddate1,Recorddate12,Recorddate3,Recorddate4,Countryofissue,ProgramType,Indexlinked,UnderlyingIndex,Uindex,FRNBenchmark,BondListing,Index_referencepage1,Index_referencepage2,Finalredemptionvalue,RedemptionNotes,makewholecall,cleanupcall,Makewhole_bps,Makewhole Date,Floor,Cap,Governinglaw,methodofdistribution,Deal Type,Cumulative,Coupondeferral,Calltype,underlying_Equity,Conversiondate,exercisetype,Convertible_listing,ismandatory,conversionprice,conversionprice1,ispreferred,exnbondisin,conequityISIN,Conversion_Notes,ConversionRatio
XS1241063970,Goldman Sachs International,England and Wales,United Kingdom,Financial Services,2015-10-01,2030-10-01,12,EUR,EUR,EUR,N,2015-10-01,,2016-10-01,2029-10-01,,Fixed,Fixed,"3,00,00,000",2.310%,2.310%,,,30/360,Following,N,N,N,N,N,N,K,1,Unsecured,Unsubordinated,N,N,N,N,"EUR 30,000,000 15-Year 2.31% p.a. Fixed Rate Notes, due October 1, 2030 ",N,N,,Plain Vanilla Bond,,,,,,,GL3VK3,XS1241063970,,124106397,,29047456,,100.000%,"1,00,000",,,,,,,,,Registered Notes,,,,,,,United Kingdom,,N,,,,Luxembourg Stock Exchange,,,100.000%,,N,N,,,,,,Non-Syndicate,,N,N,Cash,,,,,,,,,,,,
USU1944MAB10,Connecticut Avenue Securities Trust 2019-R03,United States,United States,Financial Services,2019-04-17,2031-09-25,1,USD,USD,USD,N,2019-04-17,,2019-04-25,2031-08-25,,Floating,Floating,"16,67,03,000",,,2.150%,New York,ACT/360,Following,Y,N,N,N,N,N,2019-R03,,Secured,Subordinated,Y,N,N,N,"$166,703,000 Connecticut Avenue Securities, Series 2019-R03 Notes Due 2031",Y,N,1M-2A,Asset Backed Security,US20753MAB46,20753MAB4,,USU1944MAB10,U1944MAB1,,,,,,,,,100.000%,"10,000",,,1,,,,,,Dematerialised Notes,,,,,,,United States,,Y,,,1M USD-LIBOR-BBA,Singapore Exchange Securities Trading Ltd (SGX-ST),,,100.000%,,N,N,,,,,United States,Syndicate,RMBS,N,N,Cash,,,,,,,,,,,,
USG7000WAA56,"PennantPark CLO I, LLC",Delaware (US),United States,Financial Services,2019-09-19,2031-10-15,3,USD,USD,USD,N,2019-09-19,,2020-01-15,2031-07-15,,Floating,Floating,"7,85,00,000",,,1.800%,New York,ACT/360,Following,N,N,N,N,N,N,,,Secured,Senior,N,N,Y,N,"U.S.$78,500,000 Class A-1 Senior Secured Floating Rate Notes due 2031",Y,N,A1,Asset Backed Security,US70806TAA34,70806TAA3,,USG7000WAA56,G7000WAA5,,,US70806TAB17,70806TAB1,,,,,100.000%,"2,50,000",,,1,,,2,,,Dematerialised Notes,15,,,,,,United States,,Y,,,3M USD-LIBOR-BBA,Not Listed,Reuters,LIBOR01,100.000%,,N,Y,,,,,United States,Non-Syndicate,CLO,N,N,Cash,,,,,,,,,,,,
US22535KAA16,Credit Acceptance Auto Loan Trust 2019-3,United States,United States,Financial Services,2019-11-21,2028-11-15,1,USD,USD,USD,N,2019-11-21,,2019-12-16,2028-10-15,,Fixed,Fixed,"23,75,00,000",2.380%,2.380%,,,30/360,Following,N,N,N,N,N,N,,,Unsecured,Senior,Y,N,N,N,"$237,500,000 2.38% Class A Asset Backed Notes due 2028",Y,N,A,Asset Backed Security,US22535KAA16,22535KAA1,,,,,,,,,,,,100.000%,"2,50,000",,,"1,000",,,,,,Registered Notes,,,,,,,United States,,N,,,,Not Listed,,,100.000%,,N,N,,,,,United States,,ABS,N,N,Cash,,,,,,,,,,,,
US17324CED48,CITIGROUP GLOBAL MARKETS HOLDINGS INC.,New York (US),United States,Financial Services,2017-02-16,2027-02-16,3,USD,USD,USD,N,2017-02-16,,2020-05-16,2026-11-16,,Variable,Variable,"2,25,00,000",4.250%,4.250%,,New York,,Following,N,N,N,N,N,N,N,,Unsecured,Senior,N,N,Y,N,"$22,500,000 Fixed to Floating Rate Notes Linked to the 10-Year Constant Maturity Swap Rate Due February 16, 2027  ",N,N,,Variable Bond,,,,,,,,US17324CED48,17324CED4,,,,,100.000%,,,,,,,,,,,,,,,,,United States,,N,,,,Not Listed,,,100.000%,,N,N,,,,,,Non-Syndicate,,N,N,Cash,,,,,,,,,,,,
INE001A07RY1,Housing Development Finance Corporation Limited,India,India,Financial Services,2019-09-16,2021-09-16,12,INR,INR,INR,N,2019-09-16,,2020-09-16,2020-09-16,,Fixed,Fixed,"50,00,00,00,000",7.150%,7.150%,,Mumbai,ACT/ACT,Following,N,N,N,N,N,N,W-001,,Secured,Senior,N,N,N,N,"INR 50,000,000,000 Secured Redeemable Non-Convertible Debentures due 2021",N,N,,Debenture,,,,,,,,INE001A07RY1,,,,,,100.000%,"1,00,00,000",,,"10,00,000",,,,,,Dematerialised Notes,15,,,,,,India,,N,,,,Bombay Stock Exchange,,,100.000%,,N,N,,,,,India,Non-Syndicate,,N,N,Cash,,,,,,,,,,,,
USU0734DAA91,BBCMS Mortgage Trust 2019-C5,United States,United States,Financial Services,2019-11-26,2052-11-15,1,USD,USD,USD,N,2019-11-01,,2019-12-15,2052-10-15,,Fixed,Fixed,"2,53,13,000",2.500%,2.500%,,Kansas,30/360,Following,N,N,N,N,N,N,2019-C5,,Secured,Subordinated,N,N,Y,N,"$25,313,000 Commercial Mortgage Pass-Through Certificates, Series 2019-C5 due 2052",Y,N,D,Asset Backed Security,US05492JAA07,05492JAA0,,USU0734DAA91,U0734DAA9,,,US05492JAB89,05492JAB8,,,,,100.000%,"10,000",,,1,,,,,,Dematerialised Notes,,,,,,,United States,,N,,,,Not Listed,,,100.000%,,N,Y,,,,,United States,Syndicate,CMBS,N,N,Cash,,,,,,,,,,,,
XS1633950453,Longfor Properties Co. Ltd.,China (People s Republic of),China,Real Estate,2017-07-13,2022-07-13,6,USD,USD,USD,N,2017-07-13,,2018-01-13,2022-01-13,,Fixed,Fixed,"45,00,00,000",3.875%,3.875%,,,30/360,Following,N,N,N,N,N,N,,,Unsecured,Senior,N,N,N,N,"US$450,000,000 3.875% SENIOR NOTES DUE 2022",N,N,,Plain Vanilla Bond,,,,,,,,XS1633950453,,163395045,,,,99.425%,"2,00,000",,,"1,000",,,,T+5,,Registered Notes,,,,,,,United States,,N,,,,Luxembourg Stock Exchange,,,100.000%,,Y,N,00:00.0,2017-07-13,,,United States,,,N,N,Cash,,,,,,,,,,,,
XS2065975935,Kentmere No.2 PLC,England and Wales,United Kingdom,Financial Services,2019-10-22,2042-01-28,3,GBP,GBP,GBP,N,2019-10-22,2019-10-22,2020-01-28,2041-10-28,,Step Up,Floating,"25,68,000",,,2.200%,London,ACT/365,Modified Following,Y,Y,N,N,N,N,,,Secured,,N,N,Y,N,"œ2,568,000 Class D Mortgage Backed Floating Rate Notes due January 2042",Y,N,D,Asset Backed Security,XS2065983442,,206598344,XS2065975935,,206597593,,,,,,,,100.000%,"1,00,000","1,00,000",,"1,000","1,000",,5,,,Registered Notes,15,,,,,,United Kingdom,,Y,,,3M GBP-SONIA,Irish Stock Exchange,Reuters,SONIA,100.000%,,N,Y,,,,,United Kingdom,Non-Syndicate,MBS,N,N,Cash,,,,,,,,,,,,
USG7000WAB30,PennantPark CLO I Ltd.,United States,United States,Financial Services,2019-09-19,2031-10-15,3,USD,USD,USD,N,2019-09-19,,2020-01-15,2031-07-15,,Fixed,Fixed,"1,50,00,000",3.660%,3.660%,,New York,ACT/360,Following,N,N,N,N,N,N,,,Secured,Senior,N,N,Y,N,"U.S.$15,000,000 Fixed Rate Bonds due 2031",Y,N,A2,Asset Backed Security,US70806TAC99,70806TAC9,,USG7000WAB30,G7000WAB3,,,US70806TAD72,70806TAD7,,,,,100.000%,"2,50,000",,,1,,,2,,,Dematerialised Notes,15,,,,,,United States,,N,,,,Not Listed,,,100.000%,,N,N,,,,,United States,Non-Syndicate,CLO,N,N,Cash,,,,,,,,,,,,
